編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLKPHNFFAI56EA,35,96.03,住家用,鋼筋混凝土造,72年9月20日,五層,五層
RPXNMLLKPHNFFAI56EA,35,10.05,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPXNMLLKPHNFFAI56EA,35,22.11,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPQOMLLJQHNFFAI38CA,43,48.26,住家用,磚造,64年2月17日,一層,一層
RPQOMLSLPHNFFAI56CA,24,83.59,住家用,鋼筋混凝土造,83年5月30日,十六層,十六層
RPQOMLSLPHNFFAI56CA,24,43.85,共有部份,鋼筋混凝土造,83年5月30日,十六層,
RPTNMLQJPHNFFAI98CA,14,128.94,住家用,鋼筋混凝土造,93年10月29日,十四層,四層
RPTNMLQJPHNFFAI98CA,14,85.04,共有部份,鋼筋混凝土造,93年10月29日,十四層,
RPPNMLTJPHNFFAI09EA,50,31.82,住家用,竹造,57年3月15日,一層,一層
RPXNMLKKPHNFFAI88CA,25,32.70,見其他登記事項,鋼筋混凝土造,82年2月17日,六層,
RPXNMLKKPHNFFAI88CA,25,15.64,共有部份,鋼筋混凝土造,82年2月17日,六層,
RPXNMLKKPHNFFAI88CA,25,95.56,住家用,鋼筋混凝土造,82年2月17日,六層,六層
RPRNMLKKPHNFFAI48EA,38,60.84,住家用,鋼筋混凝土造,69年10月30日,五層,三層
RPVOMLLJQHNFFAI88CA,24,95.21,住家用,鋼筋混凝土造,83年7月18日,十二層,七層
RPVOMLLJQHNFFAI88CA,24,24.58,共有部份,鋼筋混凝土造,83年7月18日,十二層,
RPVOMLLJQHNFFAI88CA,24,9.81,共有部份,鋼筋混凝土造,83年7月18日,十二層,
RPRNMLNKPHNFFAI58CA,49,74.00,住家用,加強磚造,58年8月12日,二層,一層 二層
RPSNMLNKPHNFFAI68CA,28,28.60,住家用,鋼筋混凝土造,79年10月23日,七層,四層
RPSNMLNKPHNFFAI68CA,28,8.05,共有部份,鋼筋混凝土造,79年10月13日,七層,
RPSNMLNKPHNFFAI68CA,28,4.85,共有部份,鋼筋混凝土造,79年10月23日,七層,
RPUOMLLJQHNFFAI78CA,21,89.20,住家用,鋼筋混凝土造,86年7月9日,九層,八層 九層
RPUOMLLJQHNFFAI78CA,21,30.68,共有部份,鋼筋混凝土造,86年7月9日,九層,
RPSNMLMKPHNFFAI58CA,24,109.15,住家用,鋼筋混凝土造,83年4月14日,七層,三層
RPSNMLMKPHNFFAI58CA,24,40.29,共有部份,鋼筋混凝土造,83年4月14日,七層,
RPOPMLMKPHNFFAI38CA,23,31.70,住家用,鋼筋混凝土造,84年7月11日,十二層,七層
RPOPMLMKPHNFFAI38CA,23,7.71,共有部份,鋼筋混凝土造,84年7月11日,十二層,
RPXNMLTKPHNFFAI17CA,25,72.55,住家用,鋼筋混凝土造,82年7月2日,六層,六層
RPXNMLTKPHNFFAI17CA,25,33.38,共有部份,鋼筋混凝土造,82年7月2日,六層,
RPQPMLRKPHNFFAI56DA,23,27.87,住家用,鋼筋混凝土造,84年7月12日,六層,二層
RPQPMLRKPHNFFAI56DA,23,15.30,共有部份,鋼筋混凝土造,84年7月12日,六層,
RPPNMLNKPHNFFAI38CA,26,82.51,住家用,鋼筋混凝土造,80年12月10日,二層,一層 二層
RPVNMLLKPHNFFAI78CA,1,386.24,見其他登記事項,見其他登記事項,106年9月28日,四層,一層 二層 三層 四層 地下一層
RPVNMLLKPHNFFAI78CA,1,2.63,見其他登記事項,見其他登記事項,106年9月28日,四層,
RPVNMLLKPHNFFAI78CA,1,33.14,見其他登記事項,見其他登記事項,106年9月28日,四層,
RPSNMLRKPHNFFAI09CA,2,86.53,見其他登記事項,見其他登記事項,105年5月10日,十四層,二層
RPSNMLRKPHNFFAI09CA,2,21.53,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPSNMLRKPHNFFAI09CA,2,42.69,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPPNMLQKPHNFFAI68CA,41,113.22,住家用,鋼筋混凝土加強磚造,66年2月12日,二層,一層 二層 騎樓
RPPOMLLJQHNFFAI28CA,35,94.72,住家用,鋼筋混凝土造,72年9月20日,五層,三層
RPPOMLLJQHNFFAI28CA,35,10.28,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPPOMLLJQHNFFAI28CA,35,22.61,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPUNMLQJQHNFFAI76EA,5,203.30,見其他登記事項,見其他登記事項,102年6月5日,四層,一層 二層 三層 四層
RPUNMLQJQHNFFAI76EA,5,.11,見其他登記事項,見其他登記事項,102年6月5日,一層,
RPQNMLKLPHNFFAI48EA,39,86.02,住商用,鋼筋混凝土加強磚造,67年12月23日,二層,一層 二層 騎樓
RPSNMLNLPHNFFAI98EA,14,115.54,住家用,鋼筋混凝土造,93年11月3日,十四層,十一層
RPSNMLNLPHNFFAI98EA,14,72.35,共有部份,鋼筋混凝土造,93年11月3日,十四層,
