編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLKKPHNFFAT96CA,27,95.60,住家用,加強磚造,80年1月14日,一層,一層
RPPNMLQLPHNFFAT27CA,43,260.48,店舖、住宅,鋼筋混凝土造,64年9月23日,三層,一層 二層 三層 騎樓
RPWNMLMKPHNFFCT67CA,25,147.22,住宅,鋼筋混凝土造,82年2月22日,三層,一層 二層 三層
RPSNMLQKPHNFFDT77CA,4,1663.20,見其他登記事項,見其他登記事項,103年8月5日,一層,一層
RPSNMLQKPHNFFDT77CA,4,1663.20,見其他登記事項,見其他登記事項,103年8月5日,一層,一層
RPSNMLPJPHNFFCT47CA,24,61.56,住宅,鋼筋混凝土造,83年12月1日,六層,三層 四層
RPSNMLPJPHNFFCT47CA,24,61.56,住宅,鋼筋混凝土造,83年12月1日,六層,三層 四層
RPSNMLPJPHNFFCT47CA,24,36.59,見其他登記事項,鋼筋混凝土造,83年12月1日,六層,
RPTNMLTJPHNFFCT97CA,25,149.81,住家用,鋼筋混凝土造,82年7月22日,三層,一層 二層 三層
RPPNMLPJPHNFFDT27CA,30,140.01,住宅,鋼筋混凝土造,77年11月24日,三層,一層 二層 三層
RPPNMLSLOHNFFAT67CD,51,92.28,國民住宅,磚造,56年4月1日,二層,一層 二層
RPPNMLPJPHNFFFT67EA,25,131.71,住商用,鋼筋混凝土造,82年6月28日,三層,一層 二層 三層
RPQOMLLKPHNFFAT86CA,40,76.60,住商用,加強磚造,67年11月16日,二層,一層 二層 騎樓
RPOOMLTJPHNFFAT37CA,38,105.54,住家用,加強磚造,69年4月11日,二層,一層 二層
RPPNMLOKPHNFFCT17CA,,210.98,住家用,見其他登記事項,107年3月27日,三層,一層 二層 三層
RPOOMLQKPHNFFCT37CA,24,88.57,住家用,鋼筋混凝土造,83年1月20日,八層,六層
RPOOMLQKPHNFFCT37CA,24,25.73,見其他登記事項,鋼筋混凝土造,83年1月20日,八層,
RPPNMLLKPHNFFAT66CA,28,85.80,住家用,鋼筋混凝土造,79年1月12日,七層,七層
RPPNMLLKPHNFFAT66CA,28,85.80,住家用,鋼筋混凝土造,79年1月12日,七層,七層
RPPNMLLKPHNFFAT66CA,28,15.30,共有部份,鋼筋混凝土造,79年1月24日,地下層,
RPPNMLLKPHNFFAT66CA,28,15.30,共有部份,鋼筋混凝土造,79年1月24日,地下層,
RPQNMLOKPHNFFCT27CA,,216.83,見其他登記事項,見其他登記事項,107年3月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLQKPHNFFAT27CA,38,51.04,住商用,加強磚造,69年7月19日,二層,一層 二層 騎樓
RPQNMLQKPHNFFAT27CA,38,51.04,住商用,加強磚造,69年7月19日,二層,一層 二層 騎樓
RPWNMLTJPHNFFAT08CA,18,91.43,國民住宅,鋼筋混凝土造,89年3月31日,六層,三層
RPWNMLTJPHNFFAT08CA,18,40.17,見其他登記事項,鋼筋混凝土造,89年3月31日,六層,
RPPNMLQJPHNFFAT07CA,34,101.45,住家用,加強磚造,73年9月13日,二層,一層 二層
RPQNMLTJPHNFFAT47CA,1,73.03,見其他登記事項,鋼筋混凝土造,106年8月7日,五層,二層
RPQNMLTJPHNFFAT47CA,1,41.61,見其他登記事項,鋼筋混凝土造,106年8月7日,五層,
RPVNMLTJPHNFFAT97CA,35,109.74,農舍,加強磚造,72年8月6日,二層,一層 二層
RPQNMLQJPHNFFAT17CA,23,24.89,住家用,鋼筋混凝土造,84年11月9日,十二層,十二層
RPQNMLQJPHNFFAT17CA,23,16.07,見其他登記事項,鋼筋混凝土造,84年11月9日,十二層,
RPROMLPJPHNFFAT27CA,,107.14,店舖、住宅,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPSNMLTJPHNFFAT67CA,23,182.77,住家用,鋼筋混凝土造,84年11月29日,三層,一層 二層 三層
RPWNMLKKPHNFFAT27CA,18,47.14,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,八層
RPWNMLKKPHNFFAT27CA,18,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPQNMLKKPHNFFAT66CA,22,80.95,見其他登記事項,鋼筋混凝土造,84年12月23日,七層,三層
RPQNMLKKPHNFFAT66CA,22,50.48,見其他登記事項,鋼筋混凝土造,84年12月23日,七層,
RPRNMLKKPHNFFAT76CA,18,122.28,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十一層
RPRNMLKKPHNFFAT76CA,18,59.54,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWOMLKKPHNFFAT37CA,31,154.60,住家用,加強磚造,76年5月27日,二層,一層 二層 夾層
RPSPMLNLPHNFFAT47CA,,73.08,住宅,鋼筋混凝土加強磚造,,二層,一層 二層
RPQOMLTJPHNFFAT57CA,18,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十層
