鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
萬巒鄉,土地,萬金段181~210地號,52.72,,鄉村區,乙種建築用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,128373,2435,,0.0,0,,RPQNMLNJPHNFFCT07CA
萬巒鄉,土地,萬金段181~210地號,35.13,,鄉村區,乙種建築用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85542,2435,,0.0,0,,RPRNMLNJPHNFFCT17CA
萬巒鄉,土地,萬金段181~210地號,34.36,,鄉村區,乙種建築用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,83667,2435,,0.0,0,,RPSNMLNJPHNFFCT27CA
萬巒鄉,土地,赤山段一小段151~180地號,579.5,,一般農業區,農牧用地,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,2416,,0.0,0,,RPOOMLOJPHNFFCT07CA
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮海康街211~240號,25.54,住,,,1070601,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830407,156.32999999999998,3,2,2,有,有,2950000,18870,坡道平面,0.0,0,,RPPNMLTKPHNFFCT67CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉德修路1~30號,65.03,住,,,1070515,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691219,93.6,2,1,1,有,無,2550000,27244,,0.0,0,,RPRNMLMLPHNFFCT27CA
東港鎮,土地,東港段31~60地號,99.0,住,,,1070616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3550000,35859,,0.0,0,含地上物,RPRNMLNJPHNFFDT27CA
南州鄉,土地,萬華段781~810地號,1449.91,,一般農業區,農牧用地,1070613,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,517,,0.0,0,土地為共有關係,RPVOMLOJPHNFFDT87CA
東港鎮,房地(土地+建物),屏東縣東港鎮延平路61~90號,77.0,住,,,1070612,土地1建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,0840804,148.98,3,2,1,有,無,2000000,13425,,0.0,0,,RPQPMLOJPHNFFDT47CA
東港鎮,土地,新帝段1231~1260地號,395.23,住,,,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13900000,35169,,0.0,0,,RPPNMLQJPHNFFDT37CA
