編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPLPHNFFBC18CA,22,10.90,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPROMLPJPHNFFCC38CA,9,19.06,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPPNMLPLPHNFFBC18CA,22,3.32,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPROMLPJPHNFFCC38CA,9,50.09,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPPNMLPLPHNFFBC18CA,22,5.01,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPRNMLOLPHNFFBC38DA,21,83.83,住家用,鋼筋混凝土造,85年11月29日,二十三層,三層
RPRNMLOLPHNFFBC38DA,21,15.09,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPRNMLOLPHNFFBC38DA,21,4.60,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPRNMLOLPHNFFBC38DA,21,6.94,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPRNMLOLPHNFFBC38DA,21,41.61,見其他登記事項,鋼筋混凝土造,85年11月29日,二十三層,
RPRNMLOJPHNFFCC18CA,5,.08,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,一層
RPRNMLOJPHNFFCC18CA,5,36.98,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPRNMLKMPHNFFBC08DA,19,91.32,住家用,鋼筋混凝土造,88年1月14日,十五層,十二層
RPRNMLKMPHNFFBC08DA,19,15.19,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPRNMLKMPHNFFBC08DA,19,4.93,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPRNMLKMPHNFFBC08DA,19,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPRNMLKMPHNFFBC08DA,19,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
