鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市大富三街91~120號,93.62,住,,,1070613,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960112,202.53,4,2,3,有,無,8600000,42463,,0.0,0,,RPVNMLLLPHNFFAI88CA
嘉義市,土地,中山段一小段1~30地號,76.25,住,,,1070619,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,30164,,0.0,0,,RPTNMLPJPHNFFAI09EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市通化一街1~30號,28.08,住,,,1070613,土地2建物2車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1060628,199.73000000000002,3,2,2,有,有,8050000,40304,坡道平面,33.93,0,,RPXNMLOLPHNFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市臺斗街91~120號,27.92,住,,,1070606,土地3建物2車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811006,152.8,3,2,2,有,有,3900000,25525,坡道平面,0.0,0,,RPQNMLKMPHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市南京路457巷31~60號,115.09,住,,,1070525,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860915,228.49,5,3,4,有,無,8380000,36676,,0.0,0,,RPROMLKMPHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,25.73,住,,,1070617,土地1建物1車位0,十九層，二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,210.02,4,2,3,有,有,6100000,29045,,0.0,0,,RPSOMLKMPHNFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市西榮街1~30號,39.63,住,,,1070529,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780606,130.29,3,2,2,有,無,3820000,29319,,0.0,0,,RPTOMLKMPHNFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路121~150號,320.0,住,,,1070627,土地1建物2車位0,一層，二層,二層,店面(店鋪),見其他登記事項,見其他登記事項,0900821,386.5,0,0,0,無,無,53000000,137128,,0.0,0,,RPOOMLNJQHNFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市玉山路158巷91~120號,16.34,住,,,1070613,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840711,120.03,3,2,2,有,有,3600000,29993,坡道機械,0.0,0,,RPXNMLLLPHNFFAI09CA
嘉義市,土地,劉厝段玉山小段331~360地號,1120.19,住,,,1070614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59298000,52936,,0.0,0,,RPWNMLNKPHNFFAI09CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興村街61~90號,21.0,住,,,1070602,土地1建物2車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800627,162.06,3,2,2,有,有,4360000,26902,坡道機械,0.0,0,,RPOOMLTKPHNFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路181~210號,14.64,住,,,1070625,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,122.56,3,2,2,有,有,2780000,22683,,0.0,0,,RPTNMLMLPHNFFAI78CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街121~150號,31.69,住,,,1070606,土地2建物1車位2,七層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070222,198.74,3,2,2,有,有,10500000,52833,坡道平面,24.49,0,,RPSNMLRLPHNFFAI56CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街121~150號,30.07,住,,,1070606,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070222,175.88,3,2,2,有,有,9200000,52308,坡道機械,8.26,0,,RPTNMLRLPHNFFAI66CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街121~150號,32.9,住,,,1070606,土地2建物1車位2,七層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070222,200.0,3,2,2,有,有,10560000,52800,坡道平面,24.49,0,,RPUNMLRLPHNFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街121~150號,28.87,住,,,1070606,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070222,163.68,3,2,2,有,有,8600000,52542,升降機械,8.26,0,,RPVNMLRLPHNFFAI86CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市友竹街1~30號,124.65,住,,,1070528,土地3建物1車位1,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,見其他登記事項,1070222,274.49,5,2,5,有,無,16160000,58873,一樓平面,0.0,0,,RPWNMLRLPHNFFAI96CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街121~150號,28.87,住,,,1070606,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070222,170.72,3,2,2,有,有,7500000,43932,坡道平面,16.23,0,,RPXNMLRLPHNFFAI07CA
嘉義市,房地(土地+建物),嘉義市嘉義市建成街181~210號,10.16,住,,,1070625,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791023,44.09,1,1,1,有,有,1700000,38557,,0.0,0,,RPSPMLTJPHNFFAI76CA
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路375巷1~30號,76.0,住,,,1070611,土地3建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670525,102.02,4,2,2,有,無,3500000,34307,,0.0,0,,RPSNMLTJPHNFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市和平路271~300號,4.56,商,,,1070621,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,38.879999999999995,1,0,1,有,無,1100000,28292,,0.0,0,,RPUOMLTJPHNFFAI86CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路781~810號,19.09,住,,,1070616,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,162.76999999999998,3,2,2,有,有,6500000,40253,坡道機械,28.62,1100000,,RPUNMLRKPHNFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段511~540號,10.94,住,,,1070613,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,107.27,3,2,2,有,有,3200000,29831,,0.0,0,,RPUNMLQJPHNFFAI09CA
嘉義市,土地,溪厝段211~240地號,1594.04,農,,,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16876000,10587,,0.0,0,,RPWNMLLKPHNFFAI88CA
嘉義市,土地,下路頭段271~300地號,118.0,住,,,1070522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7497000,63534,,0.0,0,,RPPOMLKKPHNFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市大業街91~120號,74.0,住,,,1070611,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0691013,164.65,4,1,3,有,無,5600000,34012,,0.0,0,,RPPNMLLKPHNFFAI18CA
嘉義市,土地,北園段751~780地號,530.12,農,,,1070610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1443000,2722,,0.0,0,本農地屬裡地，無通行道路,RPOPMLRKPHNFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市興美六路271~300號,125.38,住,,,1070629,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070521,249.27,4,2,5,有,無,16400000,65792,,0.0,0,,RPQNMLNKPHNFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市仁愛路331~360號,3.94,商,,,1070629,土地2建物1車位0,十四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850130,38.97,1,1,1,有,有,1290000,33102,,0.0,0,,RPPNMLKKPHNFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市和平路61~90號,53.11,住,,,1070530,土地2建物2車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750423,181.20999999999998,6,3,3,有,有,4200000,23178,,0.0,0,,RPPPMLTJPHNFFAI09CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新榮路35巷1~30號,36.96,住,,,1070606,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,213.98000000000002,4,2,2,有,有,6650000,31078,坡道平面,0.0,0,,RPTNMLQJPHNFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市過溪331~360號,65.0,住,,,1070613,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670120,89.36,3,1,2,有,無,3500000,39167,,0.0,0,,RPTNMLSLPHNFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新榮路1~30號,46.25,住,,,1070422,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931028,195.61,3,2,2,有,有,6050000,30929,坡道平面,0.0,0,,RPUNMLMLPHNFFAI88CA
