鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
北區,房地(土地+建物)+車位,臺中市北區漢口路四段318巷1~30號,22.57,住,,,1070401,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870924,165.58,4,2,3,有,有,9250000,54817,坡道平面,15.08,1000000,,RPSPMLNKPHNFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北路二段31~60號,24.8,住,,,1070501,土地1建物2車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791120,159.66,4,2,2,有,有,6850000,42904,升降機械,0.0,0,,RPUOMLMKPHNFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文昌東五街1~30號,22.19,住,,,1070501,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940914,158.38,3,2,2,有,有,9520000,60109,坡道機械,0.0,0,,RPQNNLLKPHNFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德六路一段30巷1~30號,19.09,住,,,1070501,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820222,113.1,4,1,2,有,有,3000000,26525,坡道機械,0.0,0,不動產之共有人數為２人。親友、員工或其他特殊關係間之交易。,RPWPMLKKPHNFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段346巷25弄1~30號,155.23,住,,,1070501,土地1建物1車位5,二層,二十六層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0811222,1413.76,0,0,0,無,有,37500000,26525,坡道平面,206.95,0,,RPQPMLLKPHNFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區軍榮五街211~240號,79.18,住,,,1070501,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0920304,193.42,3,2,4,有,有,14300000,73932,,0.0,0,,RPWOMLTJPHNFFBB09CA
北區,土地,賴厝段31~60地號,4.9,住,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420000,85714,,0.0,0,,RPXOMLTJPHNFFBB56CA
北區,房地(土地+建物),臺中市北區北平二街1~30號,102.0,住,,,1070501,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0741127,253.04,6,2,3,有,無,19200000,75877,,0.0,0,,RPOOMLRJPHNFFBB08CA
北屯區,土地,太和段121~150地號,296.68,住,,,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28700000,96737,,0.0,0,,RPPPMLPJPHNFFBB08CA
北屯區,土地,松竹段1~30地號,420.0,住,,,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60980000,145190,,0.0,0,,RPOPMLNJPHNFFBB77CA
北區,房地(土地+建物),臺中市北區忠太東路91~120號,5.99,住,,,1070501,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840607,70.2,2,1,1,有,有,3000000,42735,,0.0,0,,RPTRMLPJPHNFFBB68CA
北區,房地(土地+建物),臺中市北區進化路642巷1~30號,28.65,住,,,1070601,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721109,122.88,3,2,2,有,無,4500000,36621,,0.0,0,,RPORMLOJPHNFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區三光一街1~30號,11.76,住,,,1070601,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850610,118.94,3,2,2,有,有,4860000,40861,,0.0,0,,RPVRMLPJPHNFFBB88CA
北區,房地(土地+建物),臺中市北區東光東街61~90號,4.84,住,,,1070601,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831214,38.269999999999996,1,1,1,有,有,1600000,41808,,0.0,0,,RPWRMLPJPHNFFBB98CA
北屯區,土地,青萍段781~810地號,3.0,其他,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420000,140000,,0.0,0,,RPQNMLQJPHNFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區文心路四段511~540號,5.93,商,,,1070601,土地1建物1車位0,七層,十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970130,53.52,1,1,1,有,有,4150000,77541,,0.0,0,,RPROMLQJPHNFFBB28CA
西區,房地(土地+建物)+車位,臺中市西區五權西路一段121~150號,79.39,商,,,1070401,土地2建物1車位4,十二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970930,690.3199999999999,4,2,2,有,有,65000000,104401,坡道平面,116.76,5120000,,RPOPMLRLPHNFFAB28CA
南區,房地(土地+建物),臺中市南區大慶街一段61~90號,75.0,住,,,1070401,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820304,234.93,4,3,3,有,無,16000000,68105,,0.0,0,,RPVNMLLMPHNFFAB28CA
東區,房地(土地+建物),臺中市東區練武路229巷1~30號,29.41,住,,,1070601,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0741214,80.4,3,2,1,有,有,3250000,40423,,0.0,0,,RPVQMLRLPHNFFAB09CA
西區,房地(土地+建物),臺中市西區昇平街96巷1弄1~30號,35.7,住,,,1070601,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0680105,85.32,3,2,1,有,無,4880000,57196,,0.0,0,,RPORMLRLPHNFFAB48CA
西區,房地(土地+建物)+車位,臺中市西區大忠南街61~90號,13.85,其他,,,1070501,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960705,148.49,3,2,2,有,有,11800000,84322,坡道平面,20.41,1000000,含增建或未登記建物。,RPSOMLQLPHNFFAB48CA
西區,房地(土地+建物),臺中市西區日興街91~120號,10.94,商,,,1070601,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000603,61.78,1,1,1,有,無,4730000,76562,,0.0,0,,RPPPMLOLPHNFFAB08CA
中區,房地(土地+建物),臺中市中區公園路31~60號,3.51,商,,,1070601,土地2建物1車位0,七層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,25.99,1,1,1,有,有,450000,17314,,0.0,0,,RPUQMLSKPHNFFAB98CA
中區,房地(土地+建物),臺中市中區民權路151~180號,1.96,商,,,1070601,土地2建物1車位0,十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0860131,37.93,1,0,1,有,有,1480000,39019,,0.0,0,,RPTSMLTKPHNFFAB56CA
中區,房地(土地+建物),臺中市中區成功路306巷1~30號,4.41,商,,,1070601,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,48.8,1,1,1,有,有,1600000,32787,,0.0,0,,RPWPMLRKPHNFFAB98CA
西區,房地(土地+建物),臺中市西區西屯路一段151~180號,24.75,住,,,1070501,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830922,150.4,5,0,5,有,無,6900000,45878,,0.0,0,,RPRNMLOKPHNFFAB97CA
南區,車位,臺中市南區復興路二段71巷1~30號,0.54,住,,,1070601,土地0建物0車位1,,,其他,,,,7.84,0,0,0,有,有,650000,,坡道機械,0.0,650000,,RPUNMLRKPHNFFAB58CA
西區,房地(土地+建物),臺中市西區大全街33巷1~30號,16.0,住,,,1070601,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830630,34.42,3,1,3,有,無,5000000,145264,,0.0,0,,RPWNMLRKPHNFFAB78CA
